#{"t_start": 1585888522.0072632, "env_id": null}
r,l,t
-0.21,31,6.163392
-0.14,24,10.846803
0.0,10,13.001166
0.53,47,21.833819
-0.22,32,27.947876
-0.09,19,31.735889
-0.16,26,36.769936
0.18,82,51.880334
0.06,4,52.96506
-0.45,55,63.230789
0.82,18,66.830856
-0.19,29,72.397935
0.01,9,74.380852
-0.93,103,93.280774
0.04,6,94.735486
-0.12,22,99.04761
0.74,26,104.081966
0.88,12,106.597526
0.6,40,114.164741
-0.49,59,125.149565
0.88,12,127.665867
0.49,51,137.197942
0.77,23,141.699607
-0.03,13,144.398581
0.54,46,153.052732
-0.36,46,161.685721
-0.21,31,167.632408
0.07,3,168.52046
0.56,44,176.798165
-0.11,21,180.948071
0.72,28,186.348845
0.37,63,198.052327
0.68,32,204.172065
0.06,4,205.2482
0.71,29,210.832055
-0.1,20,214.786658
